context_scale,variant,regret_mean,regret_std,top_v_jaccard_mean,optimism_mean,optimism_std,achieved_mean_within_fragment_sample_sd,achieved_pooled_within_fragment_sample_sd,clipped_score_fraction,observations_to_95pct_median,threshold_successes,threshold_trials,threshold_success_rate
0.05,released,0.008437900404247562,0.0036052231554745376,0.7005272987881683,0.07618580715884592,0.00736451328600152,0.049066711158659744,0.04970467688821875,0.0007666666666666667,200.0,30,30,1.0
0.05,running_mean,0.0,0.0,1.0,3.700743415417194e-19,3.088781301375483e-17,0.049066711158659744,0.04970467688821875,0.0007666666666666667,200.0,30,30,1.0
0.05,shrink10,0.0,0.0,1.0,-0.11954510223372876,0.005008698156237077,0.049066711158659744,0.04970467688821875,0.0007666666666666667,400.0,30,30,1.0
0.05,support3,0.0,0.0,1.0,3.700743415417194e-19,3.088781301375483e-17,0.049066711158659744,0.04970467688821875,0.0007666666666666667,500.0,30,30,1.0
0.2,released,0.07096724386970875,0.020800455902385436,0.2773461731814149,0.23738249207023734,0.02177143067196856,0.18107784492979978,0.18355003995273597,0.09476666666666667,500.0,3,30,0.1
0.2,running_mean,0.0,0.0,1.0,-1.295260195396016e-18,3.5189454215905094e-17,0.18107784492979978,0.18355003995273597,0.09476666666666667,550.0,30,30,1.0
0.2,shrink10,0.0,0.0,1.0,-0.11080015177074057,0.004505271800071583,0.18107784492979978,0.18355003995273597,0.09476666666666667,650.0,30,30,1.0
0.2,support3,0.0,0.0,1.0,-1.295260195396016e-18,3.5189454215905094e-17,0.18107784492979978,0.18355003995273597,0.09476666666666667,650.0,30,30,1.0
0.4,released,0.14077759309965956,0.029322161694578516,0.13696412156164478,0.3689317720649436,0.02808826556965114,0.30271472352127443,0.30553606432600816,0.2730166666666667,,0,30,0.0
0.4,running_mean,0.0,0.0,1.0,-2.0354088784794533e-18,2.458808167347609e-17,0.30271472352127443,0.30553606432600816,0.2730166666666667,1400.0,30,30,1.0
0.4,shrink10,0.0,0.0,1.0,-0.09035760535359662,0.003298704317465059,0.30271472352127443,0.30553606432600816,0.2730166666666667,1150.0,30,30,1.0
0.4,support3,0.0,0.0,1.0,-2.0354088784794533e-18,2.458808167347609e-17,0.30271472352127443,0.30553606432600816,0.2730166666666667,1300.0,30,30,1.0
